# Flow datagram digests, one per (device type, protocol, option shape).
# Produced by TestNonNbar2WireOutputUnchanged with NL6_FLOW_DIGEST_WRITE=1.
# Clock held at 2026-09-19T12:00:00Z; device 10.42.7.13; 13 ticks of 5s; timeouts 30s/15s/60s.
# Command: cd go && NL6_FLOW_DIGEST_WRITE=1 go test ./nl6/ -run TestNonNbar2WireOutputUnchanged
# The commit that produced this table is named in the commit that added it.
cisco_crs_x	netflow5		a28eb5d9d8e2545b4b2d4a7bfab381cc5daba1d7372133daffb3ac3f1f8fcf71
cisco_crs_x	netflow9		1ee81a9c3dbdd91163ec28d75197037f8236bc7eed5b4701ba348e3f70342d71
cisco_crs_x	netflow9	if-scoped	cfe75ef75f6c76575ddd5dea2d35622eaeecbf9087031190c90882d0eb71f629
cisco_crs_x	netflow9	system-scoped	3593e0318bb4d257225a5e40e94f9e76e597f16ffe0c653df11877981ef5b254
cisco_crs_x	sflow		bdaea6e9930c691b3c4bd215a38e23bab6fa71b83bdfbbbaac6481921aab9af1
cisco_ios	ipfix		98b3885b83d1177f60444f74b9f27b13d417c729a531ec87c9088effe8fa7cd4
cisco_ios	ipfix	if-scoped	4f60a4ef8fe3be1fd8afe2d16f41bedc0f6075537efb9693a5503aefce30d6a3
cisco_ios	ipfix	system-scoped	59cf2e4fe1e1859c389a4d245f1008e19c17908b323d85525b82ef726d4b7f6c
cisco_ios	netflow5		78a518aec071a4711070a0ab38301874f9702cb1e71044589e7cbcc149f1ef8e
cisco_ios	netflow9		e70cf84c0d124f3142f079cc80cbc27fa4b835fdd76141e82acd28eb73aa8cfd
cisco_ios	netflow9	if-scoped	40955f6cb4c3a0828ee11f0f081d8ad04f6a49e11d34df39026dc7902caa9eb1
cisco_ios	netflow9	system-scoped	c3b9676d7f515acbe62b113751f18b8337c0345544906f89bcb51b9e7d1f0c08
cisco_ios	sflow		ac5d40c97352100b20744c3d5387b5461f20113872c3c5d75f8b8b36903248a0
cisco_nexus_9500	ipfix		3a10d775459bb89d9a5f801cbe79b49a29b4fc3005a11a57ca0f3ddb1b7929d5
cisco_nexus_9500	ipfix	if-scoped	02f5c8605ff5158a382893fbbf700d2cd12dd8597e26c9bd8eec990bf5e333eb
cisco_nexus_9500	ipfix	system-scoped	7014f47b0458e264da2a9736a5c1e5423d924615ecc8de199ee4141b2f2a52df
cisco_nexus_9500	netflow5		b1654d62385a0c7181bc177b0153c3682c3f5bd22254ab80eb3a41f41d77bafe
cisco_nexus_9500	netflow9		abb5818a525c89dc680c610d85800a72e5fbc1792b669fae5e04512971bf355e
cisco_nexus_9500	netflow9	if-scoped	58fec59ce3426fd5067a0cdfb651d987964906b6ecfdda2e25c7b2a226d13edd
cisco_nexus_9500	netflow9	system-scoped	55cc81bc46beffdafde2c8ce49a39f721318fb7574ade9e1bbb4438e4e359969
cisco_nexus_9500	sflow		4ee5d93dfeffd3ba6ba3eb3e69079c600da624a831da9bfe8b8d23f5a0af49b4
dell_emc_unity	ipfix		94bce6ae6049becaf49ab6ba345c717454882beea69213f0373abd25ca4a665b
dell_emc_unity	ipfix	if-scoped	55bacb9c2ea085e10d9539d077d4c1dfaa665fc5cd6adba80d4f44d27c1af0e6
dell_emc_unity	ipfix	system-scoped	bee184f764c524047b94b5000f6911939a4920492c3913cecd079102d96bbd25
dell_emc_unity	netflow5		fa0e8cd451228a877b09486c14ff1eca3baac4494138106124237b334850ab06
dell_emc_unity	netflow9		3e2312b6d1fa67b2ef3e2abc6ea72e11ba7c73656c87a648113f80197f622f01
dell_emc_unity	netflow9	if-scoped	c587f6f2a66a73703c7f5ba74d819b8271b86e19d6dbeab0786223667fd023ea
dell_emc_unity	netflow9	system-scoped	4691526a5a16a016283a476d7b22941c1f742a743165df3d8e5dd62392ef5b5e
dell_emc_unity	sflow		c3106251bb7a4def7f0c04e9b27f4dc0c0484a6ee4fc8876a775d11ed6376c18
dell_poweredge_r750	ipfix		95d482578445a78757ac74c5fcb6e9d7eb851d3bda6857b9bf395f20030010b0
dell_poweredge_r750	ipfix	if-scoped	727ed8d2dfeb97fd07718a10a2b4e8605a765ed156cb2d6aeee7998ca2a0fd5d
dell_poweredge_r750	ipfix	system-scoped	450c19026914c60b9f31e366766e267e5c14bc4c6132ceac43ef5069408a450d
dell_poweredge_r750	netflow5		b11500d5ca6f913d3aa9ad4d6e45ca9a6ef5702c8c2a3e1fa5a1e8ebbce4033b
dell_poweredge_r750	netflow9		aee230fe0c7662f3319d9817f33bd094d99aecb2f389f7b1414de6271b88d29f
dell_poweredge_r750	netflow9	if-scoped	75b4b2d960ca18abf34c42c6e0ec19a67416c7b1d8cf3ff0e447d2141fd3c633
dell_poweredge_r750	netflow9	system-scoped	61e4a8c9347f2afbe971ad924eaa9320a08935d770e6f6fc46e3232c684e2b5c
dell_poweredge_r750	sflow		c994c57edc5c450c9bba92f9ab902d49df6afb2a0cb7d0e46bb70ce85bcda1cd
dlink_dgs3630	ipfix		e9a317cb05f0632d2375c4d068ec52b38608305c500c70486484ff7d98a3421b
dlink_dgs3630	ipfix	if-scoped	6993d79d7f1f8388f28a6dff99de865205d2afd671b023139f9f45a42c88df1c
dlink_dgs3630	ipfix	system-scoped	40299ec5bb34b9548c5986ecb5fa0c0cc619f715364ca8845b1052535ffd6564
dlink_dgs3630	netflow5		f696d1a98f1731388cb8d690f79ce7578b11e9d108a57e512f76b29e95581b61
dlink_dgs3630	netflow9		0eb0e19ca5142248280044b0e5bdba3f2ecb858fb20eeac1c93b397d9b665a6c
dlink_dgs3630	netflow9	if-scoped	95d9164b69f9c7a272dc725c6bf4e052caf9dc8244456735895ef2557b619f93
dlink_dgs3630	netflow9	system-scoped	991310a79b31369bf98a8c0afbbcf73704333d97affb36919a2f9b9583029697
dlink_dgs3630	sflow		cad93bb0daafaf133bd9a8489247782a5e909658e472923e98b90a1248691146
extreme_vsp4450	ipfix		e9a317cb05f0632d2375c4d068ec52b38608305c500c70486484ff7d98a3421b
extreme_vsp4450	ipfix	if-scoped	6993d79d7f1f8388f28a6dff99de865205d2afd671b023139f9f45a42c88df1c
extreme_vsp4450	ipfix	system-scoped	40299ec5bb34b9548c5986ecb5fa0c0cc619f715364ca8845b1052535ffd6564
extreme_vsp4450	netflow5		f696d1a98f1731388cb8d690f79ce7578b11e9d108a57e512f76b29e95581b61
extreme_vsp4450	netflow9		0eb0e19ca5142248280044b0e5bdba3f2ecb858fb20eeac1c93b397d9b665a6c
extreme_vsp4450	netflow9	if-scoped	95d9164b69f9c7a272dc725c6bf4e052caf9dc8244456735895ef2557b619f93
extreme_vsp4450	netflow9	system-scoped	991310a79b31369bf98a8c0afbbcf73704333d97affb36919a2f9b9583029697
extreme_vsp4450	sflow		cad93bb0daafaf133bd9a8489247782a5e909658e472923e98b90a1248691146
fortinet_fortigate_600e	ipfix		d23211c112f65ea2d441aae9395d2d0880345f0e40b9cadd8d9c34d4cb7d429c
fortinet_fortigate_600e	ipfix	if-scoped	9b811e6dde4629aa3ff332579c853eb3fa481af09570a36f4c0183b1395aef39
fortinet_fortigate_600e	ipfix	system-scoped	d3edc01aab72376c03db963b25e7f5e430ced9ffab40c6648ff8838c14df837d
fortinet_fortigate_600e	netflow5		dfdc6bdcd9fe406f66b1d403257d4f245cfba69949d28911bfc14678dea84d9e
fortinet_fortigate_600e	netflow9		9d13391c87bc3885f45b899921bfe188bd55c084fd68e2c3963ef10900a07d88
fortinet_fortigate_600e	netflow9	if-scoped	ba2c616ea9d47aaf6eaf5660b21ada5dbf690f55cc84217b01ef4527d0fc6d58
fortinet_fortigate_600e	netflow9	system-scoped	7a3d79b957913ea7beea4e41039f0ca9ede32dd2112714169bbc86981bef2bdd
fortinet_fortigate_600e	sflow		fb7757fb229168778a3fdbb3f2f19b5b52e4c5029900ca116354847f2942a2b7
hpe_proliant_dl380	ipfix		95d482578445a78757ac74c5fcb6e9d7eb851d3bda6857b9bf395f20030010b0
hpe_proliant_dl380	ipfix	if-scoped	727ed8d2dfeb97fd07718a10a2b4e8605a765ed156cb2d6aeee7998ca2a0fd5d
hpe_proliant_dl380	ipfix	system-scoped	450c19026914c60b9f31e366766e267e5c14bc4c6132ceac43ef5069408a450d
hpe_proliant_dl380	netflow5		b11500d5ca6f913d3aa9ad4d6e45ca9a6ef5702c8c2a3e1fa5a1e8ebbce4033b
hpe_proliant_dl380	netflow9		aee230fe0c7662f3319d9817f33bd094d99aecb2f389f7b1414de6271b88d29f
hpe_proliant_dl380	netflow9	if-scoped	75b4b2d960ca18abf34c42c6e0ec19a67416c7b1d8cf3ff0e447d2141fd3c633
hpe_proliant_dl380	netflow9	system-scoped	61e4a8c9347f2afbe971ad924eaa9320a08935d770e6f6fc46e3232c684e2b5c
hpe_proliant_dl380	sflow		c994c57edc5c450c9bba92f9ab902d49df6afb2a0cb7d0e46bb70ce85bcda1cd
